0.290012 -0.114074
0.619814 -0.026306

0.481790 0
0.571691 0.951894

0.238721 -0.027328
0.618870 0

0.168934 0.908731
0.169222 0.939454

0.481790 0
0.618870 0

0.238721 -0.027328
0.169222 0.939454

0.619814 -0.026306
0.584681 0.952422

0.290012 -0.114074
0.032840 0.852292

0.619814 -0.026306
0.481790 0

0.580118 0.904315
0.571691 0.951894

0.580118 0.904315
0.586346 0.906035

0.032840 0.852292
0.385763 0.946213

0.580118 0.904315
0.586389 0.904825

0.586389 0.904825
0.168934 0.908731

0.571691 0.951894
0.584681 0.952422

0.169222 0.939454
0.584681 0.952422

0.586346 0.906035
0.385763 0.946213

