0.285714 0.028571
0.357143 0.171429

0.128571 0
0.357143 0.171429

0.128571 0
0.285714 0.028571

0.011429 0.108571
0.028000 0.267429

0.285714 0.028571
0.285714 0.314286

0.078286 0.209143
0.128571 0.342857

0.011429 0.108571
0.088229 0.229029

0.128571 0
0.028000 0.267429

0.128571 0
0.011429 0.108571

0.285714 0.028571
0.011429 0.108571

0.011429 0.234286
0.128571 0.342857

0.357143 0.171429
0.285714 0.314286

0.088229 0.229029
0.028000 0.267429

0.078286 0.209143
0.011429 0.234286

0.011429 0.234286
0.285714 0.314286

0.357143 0.171429
0.128571 0.342857

0.285714 0.314286
0.128571 0.342857

