21
-47522/133625,55371/133625
-688027/2271625,882211/2271625
-946/3145,1653/3145
-3529277/13954365,9111023/18605820
-12107/53465,29051/53465
-3/17,4/17
-209663/2026145,587659/2026145
-208639/2271625,645827/2271625
-6893/85595,1547/5035
-856777/13954365,6438523/18605820
-23/510,227/680
-3/85,4/85
-487427/13954365,1859312/4651455
-5783054267107944430981/18579842586841891274150721644615299435287865,7710739022810592574658/18579842586841891274150721644615299435287865
-3/19276847557026481436630,2/9638423778513240718315
1/255,63/170
3793/53465,32851/53465
77/510,127/680
1/5,3/20
1/5,19/85
1/5,44/85
